parallax,parallax_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,target_id,g_mag_error,bp_mag_error,bp-g,bp-g error,absolute_G_mag,absolute_G_mag_error,Type,bp_g_ZZ_Cet,abs_G_ZZ_Cet,bp_g_V777_Her,abs_G_V777_Her,bp_g_GW_Vir,abs_G_GW_Vir,bp_g_Hot_DQV,abs_G_Hot_DQV,bp_g_ELM_DAV,abs_G_ELM_DAV,bp_g_Hot_DAV,abs_G_Hot_DAV
0.594418829,0.031331134,31616.42999,15.85569628,14.438583,27212.89874,245.9506723,14.264451,NGC 5189,0.001880591,0.009914629,-0.174132,0.010091407,3.309045789,0.114471265,GW Vir,,,,,,,,,,,,
0.399596353,0.045689261,28415.88683,71.7838042,14.554462,26416.10659,268.0153128,14.296716,NGC 6905,0.003281227,0.011107039,-0.257746,0.01158157,2.562569582,0.248304651,GW Vir,,,,,,,,,,,,
0.497663466,0.077631961,7135.642387,21.77617243,16.054783,6596.56655,64.58413812,15.803093,HE 1429-1209,0.003771459,0.010724331,-0.25169,0.011368165,4.5394618,0.338755245,GW Vir,,,,,,,,,,,,
1.991293553,0.049781469,114095.9105,109.2130861,13.045191,107388.8068,643.9281199,12.773991,RX J2117.1+3412,0.002078608,0.006660701,-0.2712,0.006977503,4.540867439,0.054325642,GW Vir,,,,,,,,,,,,
0.690591927,0.050203028,22937.40619,16.78915191,14.787005,19770.6052,107.2216712,14.611339,HS 2324+3944,0.001967707,0.006053796,-0.175666,0.006365557,3.983112484,0.15786886,GW Vir,,,,,,,,,,,,
0.532159093,0.065832546,22953.2501,34.82049512,14.786255,21740.77627,403.5395969,14.508201,NGC 2371,0.002440122,0.020206256,-0.278054,0.020353058,3.416462435,0.268640445,GW Vir,,,,,,,,,,,,
0.466017787,0.052687671,19011.02381,19.32159558,14.990852,18152.62027,210.2596143,14.70404,PN K1-16,0.002111456,0.012656675,-0.286812,0.012831589,3.332864465,0.245514353,GW Vir,,,,,,,,,,,,
9.323561084,0.454755193,4942.444247,39.90128662,16.453512,4157.989487,70.577665,16.30418,PG 2131+066,0.00895035,0.018486838,-0.149332,0.020539522,11.3014211,0.106290726,GW Vir,,,,,,,,,,,,
1.298332876,0.068360213,4012.649675,8.309952583,16.679787,3907.660741,46.99176154,16.371595,PG 1707+427,0.002880656,0.01313457,-0.308192,0.013446751,7.246717272,0.114369302,GW Vir,,,,,,,,,,,,
1.384999093,0.097840815,3652.848739,11.6100496,16.781786,3437.085493,63.08627793,16.510912,PG 0122+200,0.003892838,0.019982183,-0.270874,0.020357845,7.489033446,0.15344922,GW Vir,,,,,,,,,,,,
